__NSCFNumber,NSNumber
DOMCSSValue,DOMObject
_UIBackgroundTaskInfo,NSObject
CIQRCodeGenerator,CICodeGenerator
UIKBTreeLocalizedKeylistEnumerator,NSEnumerator
_NSIsNilTransformer,_NSNegateBooleanTransformer
_UIActivityGroupViewFlowLayout,UICollectionViewLayout
UIInputViewAnimationControllerViewControllerContext,NSObject
OS_xpc_fd,OS_xpc_object
CUIOuterGlowOrShadowFilter,CIFilter
_UIKBCompatInputView,UIView
_UITableViewCellGrabber,UIControl
_UIRefreshControlContentView,UIView
NSMapObservationTransformer,NSObservationTransformer
UITableViewCountView,UILabel
_UITouchForceInteractionProgress,UIPreviewForceInteractionProgress
_UIActivityAlertVisualStylingAlertSheet,UIAlertControllerVisualStyleActionSheet
UIKeyboardTaskExecutionContext,NSObject
_NSKeyedCoderOldStyleArray,NSObject
UIWebTiledView,UIView
DOMHTMLMarqueeElement,DOMHTMLElement
_UITableViewCellRemoveControl,UIRemoveControl
AUAudioUnit_XH,AUAudioUnit
CIOpTile,CIFilter
NSFilePresenterOperationRecord,NSObject
ADDataStore,NSObject
WebGLLayer,CAEAGLLayer
TIKeyEventMap,NSObject
_UISearchATVPresentationController,_UISearchPresentationController
_UIModalItemRepresentationView,UIView
UIAutoRotatingWindow,UIApplicationRotationFollowingWindow
UIKeyboardTaskQueue,NSObject
UIStatusBarLayoutManager,NSObject
UIStatusBarDoubleHeightItemView,UIStatusBarItemView
UICompletionTablePrivate,NSObject
_UIFocusDisplayLinkScrollAnimator,NSObject
_UITableViewCellDeleteConfirmationControl_Legacy,UIControl
NSInPredicateOperator,NSPredicateOperator
UIKeyboardCandidateGridCell,UICollectionViewCell
NSXMLParser,NSObject
_UIDynamicCaretDot,UIView
FBSWorkspaceActionsEvent,FBSWorkspaceEvent
CIProSharpenEdges,CIFilter
UIStatusBarOpenInSafariItemView,UIStatusBarSystemNavigationItemView
CUINamedImageAtlas,CUINamedLookup
_UIActivityBundleHelper,NSObject
NSMethodSignature,NSObject
_UIModalItemActionSheetContentView,_UIModalItemContentView
_UIPopoverViewArtworkLoader,NSObject
UIPopoverPresentationController,UIPresentationController
UISwipeGestureRecognizer,UIGestureRecognizer
_NSCFTranslatedFileURLProtocol_PIMPL_0,_NSCFTranslatedFileURLProtocol
CIBurstFaceInfo,NSObject
_UIDatePickerView,UIPickerView
DOMHTMLMetaElement,DOMHTMLElement
JSWTFMainThreadCaller,NSObject
CIConstantColorGenerator,CIFilter
BSMutableSettings,BSSettings
NSKeyedArchiver,NSCoder
_UIFocusEngineScrollViewOffsets,NSObject
UIStatusBarAnimationParameters,NSObject
NSSubstitutionCheckingResult,NSTextCheckingResult
WebSimpleLayer,CALayer
UIScrollViewScrollAnimation,UIAnimation
NSColor,UIColor
UITableViewCellFocusableEditControl,UITableViewCellEditControl
_NSXPCConnectionExpectedReplies,NSObject
CIEnhancementCalculation,NSObject
UIDocumentMenuViewController,UIViewController
_UIPopoverStandardChromeView,UIPopoverBackgroundView
UIClassSwapper,NSObject
CIRAWTemperatureAdjust,CIFilter
OS_nw_interface,OS_object
NSAsyncSSDownloadManager,NSObject
_UITouchForceObservationMessageReader,NSObject
UIMutableApplicationSceneSettings,FBSMutableSceneSettings
NSKeyValueProxyGetter,NSKeyValueGetter
_UIQueueingProxy,_UITargetedProxy
UIKeyboardInputManagerClient,NSObject
CIPDF417BarcodeGenerator,CICodeGenerator
NSStringDrawingTextStorageSettings,NSObject
UIMultiColumnsNavigationTransitionView,UIView
UIKBTree_Compile,UIKBTree
UIDynamicsDebug,NSObject
NSFilePresenterAsynchronousOperation,NSOperation
UITextEffectsWindow,UIAutoRotatingWindow
_UIBackdropViewSettingsLightEmojiKeyboard,_UIBackdropViewSettingsLightKeyboard
CATextLayer,CALayer
CUIInnerGlowOrShadowFilter,CIFilter
UICompatibilityInputViewController,UIInputViewController
NSURLConnectionInternalBackgroundDownload,NSURLConnectionInternal
_UIDocumentPickerNSURLWrapper,NSObject
__NSMessageBuilder,null
_LSSharedWebCredentialsAppLinkPlugIn,_LSAppLinkPlugIn
_UIDictationPrivacySheetController,UINavigationController
FBSApplicationTerminationAssertionClient,FBSSystemServiceFacilityClient
_UIWebHighlightLongPressGestureRecognizer,UILongPressGestureRecognizer
UIKBRecentInputsView,UIKBKeyView
_NSKeyedUnarchiverHelper,NSObject
WebOpenPanelResultListener,NSObject
UIKeyboardDictationMenu,UIKeyboardMenuView
UIProxyObject,NSObject
NSSocketPort,NSPort
DOMDocument,DOMNode
CILinearGradient,CIFilter
__NSOrderedSetI,NSOrderedSet
PKExtendedPhysicsBody,PKPhysicsBody
UIStatusBarItem,NSObject
NSMessagePortNameServer,NSPortNameServer
UIActivityContinuationAction,BSAction
WebDefaultPolicyDelegate,NSObject
_UITableViewCellEditControlMinusView,UIView
NSPurgeableData,NSMutableData
UILocalNotification,NSObject
CAShapeLayer,CALayer
UIInputViewController,UIViewController
DOMCSSValueList,DOMCSSValue
CIPhotoGrain,CIFilter
FBSDisplayLayoutTransitionContext,NSObject
AUAudioUnitBusArray,NSObject
_UIViewServiceImplicitAnimationEncodingProxy,_UITargetedProxy
OS_nw_resolver,OS_object
NSCFSet,NSMutableSet
TIKeyEventMapChineseMecabra,TIKeyEventMapChinese
_UIViewControllerKeyboardAnimationStyle,UIInputViewAnimationStyleDirectional
DOMTreeWalker,DOMObject
_EditScriptRanged,_EditScript
JSWrapperMap,NSObject
CIPhotoEffect,CIFilter
NSStringDrawingTextStorage,NSTextStorage
_NSCFTranslatedFileURLProtocol_PIMPL_1,_NSCFTranslatedFileURLProtocol
BKSWatchdogServerWrapper,NSObject
UICollectionViewFlowLayoutInvalidationContext,UICollectionViewLayoutInvalidationContext
_UITableViewReorderingSupport,NSObject
PKExtendedPhysicsWorld,PKPhysicsWorld
